id,key,title,subtitle,year,season,collaboration,instruction,type,platform,tech,notes,story,process,result,expswitch,abstract,cover_img,img_ratio,cover_video,content_slides,content_video,content_videoprovider,detail_title,content_details,github,otherlinks
1,Xenolith,Xenolith,Me In My Virtual World,2019,Fall,"Qin Ye Chen, Zhenyu Yang, Wei Wu",Takehiko Nagakura,Mixed Reality Experience,"Unity, Premiere",Chroma Keying,NA,"Through inviting people into a series of surreal virtual spaces, we want to capture the feeling of being in a foreign place for so long, when the exhilaration solidifies and the segregated yet condensed life starts to feel like a dream that never ends.","We first decide on the commonalities of the four scenes, then based on the spatial settings of blue screen room, design the details of each scene (color, shape, texture, lighting) in Unity. After we got blue screen shoots, we use chroma keying in premiere to compose them with Unity footages.","Using ‘arch’ as a motif, the final video is composed of four clips, from each of us. The audience will first wonder if these clips are architectural visualizations, but soon will realize the virtual world is only virtual without the presence of human characters. ",,"Merge the reality with the virtual by chroma keying, depicting the feeling of being in a foreign place for so long, when the exhilaration solidifies and the segregated yet condensed life starts to feel like a dream that never ends.",Xenolith_Cover.jpg,56.25%,Xenolith_Short.mp4,"Xenolith_Cover.jpg,Xenolith_Draft01.jpg,Xenolith_Draft02.jpg,Xenolith_Still01.jpg,Xenolith_Still02.jpg,Xenolith_Still03.jpg",373867522,Vimeo,,NA,NA,NA
2,Efface,Efface,Gaze Interactive Generative Virtual Landscape ,2019,Spring,Individual,Panagiotis Michalatos,"Mixed Reality Experience, Computational, Interactive","Unity, C#, GLSL Shader",Eye-Tracking,NA,"This project aims for a shared virtual landscape created simply by human existence. The motivation behind is about creating an instinctual experience that demands the minimum input, responds to our ‘stillness’ and ‘idleness’, and makes us feel our ‘existence’.  This subtle interaction (or even not an explicit interaction  at  all,  but  the  feeling  that  the  system  are  in  sync  with  us)  is extremely useful when people are in a depressed mood, feeling lack of energy to do anything more than just moving their eyes.  Quite often they will be trapped in a hopeless cycle:  the lower their mood is, the more aversion they are to activities, the less possible that they will recover from depression. By experiencing  Efface  effortlessly,  users  are  expect  to  feel  their  own influence on the virtual landscape and others’ presence in this shared world, acquiring empowerment, connectivity and satisfaction.","The system has two tasks: First, to navigate a virtual landscape smoothly and freely using only gaze and head pose.  Second, the landscape gives visual response to user’s focus through its color and form changes. <br><br>
<strong>Gaze</strong><br>By looking at different parts of the landscape or sky, the user can dive exactly towards what he or she is focusing at. By looking at the targets (white particles) in the landscape, users can have drifting/orbiting experience towards/around the targets. Head Pose: Leaning or moving head out of the relaxed area will move camera accordingly, in forward/ backward / left / right / up / down directions. <br><br>
<strong>Terrain Color</strong><br>Users will leave patterns on the land they are passing through according to their gaze moving speed.  Stillness creates constant-size circle, whereas rapid movements result in smaller yet more varied shapes. The color change of the terrain will then cause terrain's vibrations (vertices moving vertically). <br><br>
<strong>Glow of Targets</strong><br>On receiving user's focus, those targets (`neurons', the static large white particles) will have a larger range of glow, which in turn attracts the user more.  <br><br>
<strong>Density of Triangle Fragments</strong><br>Triangle fragments gradually appears and disappears, falling down from the sky to the swamp, representing the formation, consolidation, re-consolidation and effacement of our memories (just my fun interpretation). The interaction is, the more user looks at a target (a neuron that controls the flow of memory fragments), the denser of triangle fragments in the branches controlled by that target. Meanwhile, other branches will become thinner, representing memories being forgotten.","Efface is an interactive virtual landscape in Unity that can be navigated through gaze and head pose using Tobii Eye Tracking SDK. The system detects user's gaze point on screen for ray-tracing the actual hitpoint being looked at in the landscape, which then drives the camera rotation. It also picks user's head position change for camera translation and uses focused target for orbiting and drifting. Some visual feedback includes: redistribution of triangle meshes and target glowing according to focus, landscape color change according to user's gaze movement changing rate. ",,"Generate the color of the world computationally with eye movements, responding to the fear of being worthless and unwanted at the lowest point of life, when feelings and memories are effaced by the competitive society.",Efface_Cover.jpg,56.25%,Efface_Short.mp4,"Efface_Cover.jpg,Efface_Draft01.jpg,Efface_Draft02.jpg,Efface_Draft05.jpg,Efface_Draft03.jpg,Efface_Draft04.jpg,Efface_Still01.jpg,Efface_Still02.jpg,Efface_Still03.jpg,Efface_Still04.jpg,Efface_Still05.jpg,Efface_Still06.jpg,Efface_Still07.jpg,Efface_Still08.jpg",391846506,Vimeo,,NA,Dugyu/Efface,NA
3,Engram,Engram,An Immersive Landscape of the Memory Land,2018,Fall,Individual,Eric de Broche des Combes,Virtual Reality Experience,Unity,"Modeling, Texturing, Animating",NA,"Construct an immersive landscape based on the origin myth that describes how the forest of dreams is formed from interwoven roots of memory traces, curating the experience of flying over an imaginary land to find the dim memories in the deep.","The tree-like structure, landscape and creatures are built in Cinema4D, with textures made in Substance Painter. Both low-poly meshes and high-poly meshes (optimized in Rhino) are generated, yet the former is chosen because its better representation of forms in shades and shadows.  Lighting, ambient particles, post-processing effects and camera animations are then added in Unity. ","The 2-minute trailer of this immersive landscape starts from the bottom of the land, the memory swamp, then flies through the interwoven roots of memory traces, seeing some glimpses of ‘memset’ and ‘malloc’, the imaginary creatures who edit memories to assembly dreams. The memory forrest is not revealed until the very end, making it a climax of the story.",,"Construct an immersive landscape based on the origin myth that describes how the forest of dreams is formed from interwoven roots of memory traces, curating the experience of flying over an imaginary land to find the dim memories in the deep.",Engram_Cover.jpg,56.25%,Engram_Short.mp4,"Engram_Cover.jpg,Engram_Draft01.jpg,Engram_Draft02.jpg,Engram_Draft03.jpg,Engram_Draft04.jpg,Engram_Draft05.jpg,Engram_Draft06.jpg,Engram_Draft07.jpg,Engram_Draft08.jpg,Engram_Draft09.jpg,Engram_Draft10.jpg,Engram_Still001.jpg,Engram_Still004.jpg,Engram_Still005.jpg,Engram_Still006.jpg,Engram_Still007.jpg,Engram_Still008.jpg,Engram_Still009.jpg,Engram_Still010.jpg",391822137,Vimeo,Origin Myth,"<strong>The Origin of Memory Land</strong><br>
In the beginning, Consciousness is only complete darkness, with faint sounds at a distance. One day, Consciousness said “ Let my thought be recorded.” Then the first rudimentary memory fragment fell down, as a tiny feather dropped into the deep. The ripples and wakes generated by the first memory formed the basis of the Swamp, where grew the salt crystals, known as the consolidated new memories.  As the memories crystalized more and more, it became hard for Consciousness to find any of the memory he wanted to recall. He decided to categorize them, using the most frequent memory elements to build the major crystal land structures, which lead to other less important ones, and then the most trivial ones. Since then, memories were separated into pieces scattered all over the land,  a retrieval of an original memory fragment would have to rely on a memory trace, called Engram, which points from the initial element to the second, third, … and final ones. This is the Encoding process.</n>
<strong>The Slaughter</strong><br>
A memory is forgotten not because it disappears in this world, though it somehow decays without the nourish of Salt, but that the memory trace is either broken or being intentionally destroyed, which means that there is no way to find it in the memory land. Without being recalled and reinvigorated, it will fall asleep lonely in the deep, glimmer faint. When a new memory is born in the swamp, it will go through the Consolidation process to form connections with existing memories. Insufficient consolidation time leads to weak engrams, which are vulnerable in the wind and rain of emotions. One day in a fierce emotion rain, consciousness found that he had to erase a series of memories to bring peace back, he used Propanonol (lava particles) to cut the Engram deliberately. Thousands of memories lost their traces forever, that being called, the Slaughter. </n>
<strong>The Rebellion</strong><br>
Born from the resentment of the Slaughter there were Malloc and Memset, who are wishes and desires flying over the memory land. They aspire to fool the Consciousness so as to pass important messages to the Intuition. They and the marginalized memories formed a coalition. Malloc collect the gloomy memories in the deep, while Memset edit and initialize them to become the Dreams. Some Dreams escaped from the census of Consciousness, reached the outsider Intuition, and thus were lucky to go into the re-consolidation process. The newly generated Engram grew larger and larger, at last, they together were a forest above the crystal roots.",Dugyu/Engram,NA
4,Loneliness,Loneliness: A Social Story,Interactive Data Visualization of Loneliness,2019,Fall,"Lucy Yip, Runjia Tian","Hanspeter Pfister, Fritz Lekschas","Visualization, Interface",Web,"D3.js, Three.js, JavaScript",Harvard CS171 Best Project “Runner Up”,"Loneliness is a sad reality of modern societies. Whether voluntary into solitude or forced into loneliness, we live in a multi-dimensional space with numerous factors that influence our social connections. We hope to use this project as an opportunity to explore the multitude of the subject through referencing and comparing existing quantitative and qualitative research data. Goal: To raise awareness about the new global problem loneliness through exploring and systematizing it in modern day context, especially in relation to societal setting and affective manifestation. 
","We hope to raise awareness about the new global problem loneliness through our storytelling and data visualizations. Firstly, we would like to show the widespread loneliness across the world, and how it has increased since the past years (We are lonelier than before).  We will also present key facts about loneliness regarding population characteristics and different regions. Secondly, we want to explore what are the reasons behind the loneliness in modern societies. We know that it’s hard to weigh an emotion, especially when it does not have antonyms. So we choose to show the multitude of related factors and how they manifested in different countries. Thirdly, by comparing the lifestyles of those who report loneliness and ordinary people, we try to give some recommendations for alleviating loneliness. Finally, we present the global efforts (global funding, support centers) on loneliness so as to call for future actions.","The visualization narrative starts with the definition of loneliness and a series of introductory questions. Then it explains the increasing prevalence of loneliness based on international data. The first visualization depicts the duration of loneliness, showing that there are many people who have been lonely for a long, long time. An interactive scatter plot then reveals the correlation between loneliness frequency and age.The next section focuses on country-specific data from the European Social Survey. The choropleth map allows filtering of different social causes and population groups and displays the percentage of frequently lonely people thereof. A series of small multiples offers a better comparison of data in each category and in each nation for finding the most prominent factors.  Furthermore, the radar plot explores the odds ratio between these factors and loneliness to quantify each correlation and pick the top three loneliness reasons. We now present the three summative categories of influential factors, intimate, relational and collective. In the end, we illustrate a series of ways one can help or self help.",,Interactive Data Visualization,Loneliness_Cover.jpg,56.25%,Loneliness_Short.mp4,"Loneliness_Scene01.jpg,Loneliness_Scene02.jpg,Loneliness_Scene03.jpg,Loneliness_Scene04.jpg,Loneliness_Scene05.jpg,Loneliness_Scene06.jpg,Loneliness_Scene07.jpg,Loneliness_Scene08.jpg,Loneliness_Scene09.jpg,Loneliness_Scene10.jpg,Loneliness_Scene11.jpg,Loneliness_Scene12.jpg,Loneliness_Scene13.jpg,Loneliness_Scene14.jpg,Loneliness_Scene15.jpg,Loneliness_Scene16.jpg,Loneliness_Scene17.jpg",394310754,Vimeo,Narrative,"Loneliness is 'subjective distress’. It’s the discrepancy between the social relationships we want and the ones we have. It is a trait shared among many of us in the modern world, but rarely spoken about. This project focuses on exploring the topic of loneliness as a social story, to raise awareness of this communal phenomenon among people who struggle with it, as well as the rest of the world who may be able to offer helping hands after understanding more about the subject. 
</n>
The website begins with a quote, and then a set of questions that hope to bring the viewers into the context of loneliness, such as “How often do you feel that you have very little in common with the people around you?”. A summary of whether the viewer is likely to be lonely is revealed based on their answers. The result of this questionnaire echos throughout the site. 
</n>
The page goes on and explains the increasing prevalence of loneliness based on international data. The first visualization depicts the duration of loneliness, giving the impression that there are many people who have been lonely for a long, long time. Supported by the interactive scatter plot, which shows the correlation between loneliness frequency and age, we further emphasize the buildup of loneliness in our life.
</n>
So loneliness increases, and what are the reasons behind? The tree network shows the hierarchy of loneliness factors and their relative influences. 
Then the dot matrix highlights some of these cause-effect relationships, including age, marital status and negative events as important causation factors, negative personal and social impacts as adverse consequences. 
</n>
The next section zooms on the country-specific data from the European Social Survey, one of the largest dataset on self-reported loneliness. The choropleth map allows filtering of different social causes and population groups and displays the percentage of frequently lonely people thereof, with facts and stories as complements. A series of small multiples offers a better comparison of data in each category and in each nation for finding the most prominent factors.  Furthermore, the radar plot explores the odds ratio between these factors and loneliness to quantify each correlation and pick the top three loneliness reasons.
</n>
We now present the three summative categories of influential factors, intimate, relational and collective. We illustrate a series of ways one can help or self help.  The last line of text is also based on the answers from the questionnaire at the very beginning. For non-lonely viewers, it encourages them to look for ways to help the ones who are struggling, while for lonely viewers, it encourages them to seek help and share their experiences. Although, we live in a lonely world, based on all previous data and visualization, we are not alone. ",lyip12/loneliness,"Demo,https://lyip12.github.io/loneliness/"
5,Decay,Evolving Decay,Dynamic Olympic Park Design,2017,Spring,Jiayi Wang,Weiguo Xu,"Architectural, Computational",Rhinocereos,"Grasshopper, Python, V-Ray",NA,"In Japan, the notion of impermanence is about change and renewal, demolition and rebuilding.  If any city can buck the bloated, wasteful, and cynical public image of the Olympics in recent years, it’s probably Tokyo. This time, rather than building entirely new venues, the organizing committee plan to use as many existing competition venues as possible. They will retrofit existing structures throughout the city, including three major venues originally built for the 1964 Summer Games. The Tokyo National Stadium, where the Opening and Closing Ceremonies and the Athletics competitions will be staged, will be completely revamped and replaced by this new Olympic park. By interpreting architecture as natural chaotic systems, the design aims to capture the intuitive, situational, and paradoxical character in Japanese culture, the evanescence and insubstantiality of things, and the transitory nature of the floating world. The atmosphere in the proposed Olympic Park is relaxing with water and vegetation. Venues, tracks, shelters and pedestrian routes are brought together in a continuous, unpredictable and non-linear form, creating the adventure-like visiting experience for both athletes and the public.","The 2020 Tokyo Olympic Park is situated near the Meiji Jingu Gaien, surrounded by national gardens, stadiums and cemetery. In the proximity of Akasaka Imperial Gardens, its post development is subject to many restrictions. With minimum architecture in the future, the park serves as an oasis connecting surrounding outdoor resources. To capture the sensitive characteristics in Japanese culture and make the Olympic Park a dynamic system, vector field and particle movements are chosen to present the correlations within different sports programs as continuously changing swirls.  Variations of orientation charges will result in attractive and repulsive forces. Eighteen eddies were put into the original vector field, where the orientation adjustment is set to be 0.25 * pi. The orientation adjustment caused by eddies damps from the center of effective range to its boundary. Eddies then imparts rejection-attraction forces to the flowing particles nearby, speeding up or down their movements. Venues are mainly designated for indoor sports, as well as the outdoor sports that have strict requirements on tracks. The trajectory of particles is transforming into structure skeletons, with tension membrane being the outer skins.","By viewing architecture as life, it is clear that days are numbered. Decadency comes soon after the day it was built, especially for such sports infrastructure that are built mainly for the two-week games. What we should do is not leaving it isolated, but consider it being a continuously evolving process. 2020: During Tokyo Olympics, temporary stands are merged with the landscape, providing sufficient seats and shelters for the audience. Reusable light steel and removable fabrics are used as the skeleton and skin of the stadiums. 2025: After the Olympics, the stadiums will be transformed into Tokyo Disney Universe, a theme park that aims to help cover expenditures of Tokyo Olympics and attract people to the place after the games. 2035: In the near future, new cultural facilities and trees will gradually replace previous structures as the Olympics’ after effect has gradually faded, while the landscape is maintained in case of future events. The park will then become a forest with bio-diversity and various urban activities. After the Olympics, the park is transformed into an ever-changing, multi-functional urban forest, with thousands of trees grown to provide urban life that embraces nature. Public cultural facilities are built of recyclable materials in a light and fluid manner, making the park a constantly evolving platform for living.",,Dynamic Olympic Park design based on time-varying chaotic system.,Decay_Cover.jpg,70.73%,Decay_Short.mp4,"Decay_Still01.jpg,Decay_Still02.jpg,Decay_Still03.jpg,Decay_Still04.jpg,Decay_Still05.jpg,Decay_Still06.jpg,Decay_Still07.jpg,Decay_Still08.jpg",249348231,Vimeo,,NA,Dugyu/Chaotic,NA
6,CaveArch,CaveArch,Intelligent Interactive Modeling,2017,Fall,"Sunyang Huang, Zhen Chen",Songhai Zhang,"Computational, Interface","Rhinocereos, PyQt","Python, C++",NA,"The project starts with a research question: how to generate a cavelike building, as Junya Ishigami’s model depicts, given a specific spacial network?  Modeling provides us accuracy, but the cost is the reduced freedom in conceptual design phase, as it takes a long time to transcript the spacial relations into actual 3d shape.","We first analyzed Junya Ishigami’s original plan, extract the abstract spatial structure, grouped similar elements together to find patterns based on angle, size and shape. Those patterns are then coded in Rhino (with Grasshopper and Python) using metaball algorithms, where a few points control the generation of the isosurfaces. To offer users a more intuitive way to build such non-linear forms, we designed an interface in PyQt, where users can set spatial nodes and specs to get final surface output in Rhino.","We developed an interactive interface (QT+Python in Rhino) that aids designers in creating non-standard forms. By simply clicking and dragging on our QT interface, designers will set spatial specs through nodes, connections and area ratios, and eventually get 3D editable outputs in Rhino.",,Intelligent Interactive Modeling,CaveArch_Cover.jpg,56.25%,CaveArch_Short.mp4,"CaveArch_Scene00.jpg,CaveArch_Scene01.jpg,CaveArch_Cover.jpg,CaveArch_Draft01.jpg,CaveArch_Draft02.jpg,CaveArch_Draft03.jpg,CaveArch_Draft04.jpg,CaveArch_Draft05.jpg,CaveArch_Draft06.jpg,CaveArch_Draft07.jpg,CaveArch_Draft08.jpg,CaveArch_Draft09.jpg,CaveArch_Draft10.jpg",245023513,Vimeo,,NA,Dugyu/CaveArch,NA
7,ObscureLoneliness,Obscure Loneliness,Architectural Contemplations on Urban Loneliness,2015 - 2016,Fall & Spring,"Kechao Xiang, Sunyang Huang, Junli Wang (See Details)","Weiguo Xu, Yehao Song ",Architectural Design,Rhinocereos,"Grasshopper, Python, V-Ray, Maxwell",NA,"I intend to give attention to individuals and alleviate the loneliness in contemporary urban conditions using design and computation. In the advanced technological societies, we have observed a decrease in human interactions determined by physical location and detachment with the immediate environment. The irony of digital networking produces more provincialism than the geological confinement it supposedly transcended. As a result, high-quality social connections are less likely found in our lives than the tenuous and superficial ones, causing loneliness and even depression. In this collection of architectural designs, I have identified the loneliness inherent in several urban issues. I personate buildings as human beings, to understand and develop coherent urban contexts, connecting the built environment and our society.","Into Mystery: Sedimentation laboratory renovation, revealing what happens inside. Platform & Tech: Rhino, Grasshopper, MaxWell. Collaborators: Kechao Xiang, Sunyang Huang. Instructor: Yehao Song. <br> 
Surviving Emptiness: Rebuilding collective memory through improvised virtual reality. Platform & Tech: Rhino, Grasshopper, Python. Collaborator: Junli Wang. <br>
Alleviating Rejection:  Urban design guidelines, introducing walkability into campus. Platform & Tech: Rhino,V-Ray. Individual Work. Instructor: Wenyi Zhu. <br>
Breaching Norms:  Complex design in historical area, rethinking nostalgia towards history. Platform & Tech: Rhino, Grasshopper, Python,V-Ray. Individual Work. Instructor: Weiguo Xu.","In this information era, our inherent “Need to Belong” cannot be satisfied only through the physical making of space. Even if people sit together in a poetic space, it is very likely that they each will turn to their mobile phones every 5 minutes. The invasion of “Heterotopia”, such as cyberspace created by Facebook, Instagram, and WeChat, has transformed intangible data into physical substance. Thus, the emotional involvement and self-identification associated with information technology are imperatives for shaping future virtual and physical environment. This portfolio is a summary of previous architectural work, future work will focus on social interactions influenced by the combination of physical environment and digital information, especially the location-based data.","Concept,Content,Remark",Architectural Contemplations on Urban Loneliness,ObscureLoneliness_Cover.jpg,70.73%,ObscureLoneliness_Short.mp4,"ObscureLoneliness_Still01.jpg,ObscureLoneliness_Still02.jpg,ObscureLoneliness_Still03.jpg,ObscureLoneliness_Still04.jpg,ObscureLoneliness_Still05.jpg,ObscureLoneliness_Still06.jpg,ObscureLoneliness_Still07.jpg,ObscureLoneliness_Still08.jpg,ObscureLoneliness_Still09.jpg,ObscureLoneliness_Still10.jpg,ObscureLoneliness_Still11.jpg,ObscureLoneliness_Still12.jpg,ObscureLoneliness_Still13.jpg,ObscureLoneliness_Still14.jpg,ObscureLoneliness_Still15.jpg,ObscureLoneliness_Still16.jpg,ObscureLoneliness_Still17.jpg,ObscureLoneliness_Still18.jpg",,NA,Project Details,"<strong>Into Mystery</strong><br>
Sediment laboratory was a clear span space used by the Department of Civil Engineering. Although it is located in the center of the campus, students outside the Department of civil engineering are unconscious about its existence, not to mention what is happening inside, even if they pass by every day. The indifference to the immediate environment should be attributed to the highly specialized and complexed society: The division of labor circumscribed people in specific tasks and roles, making social connections superficial and shallow. E-Services enable individuals to live a comfortable life by themselves. The grand scale of urban spaces and complexed needs lead to the gigantic building, whose façade can no longer reveal what happens inside, transforming the city from a summation of certainties into an accumulation of mysteries. In laboratory renovation, we aim to transform the isolated specialized space into a new center for student activities while still keeping the enchantment of the clear span space. A bicycle bridge will wind itself over the laboratory, a new transparent façade will displace the concrete structure, and a both invite visitors to walk in and explore the versatile components inside. 
</n>
<strong>Surviving Emptiness</strong><br>
On March 2011, a massive earthquake sent a 120-foot-high tsunami smashing into the coast of north-east Japan. More than 18,500 people had been crushed, burned to death or drowned. It was Japan’s greatest single loss of life since the atomic bombing of Nagasaki. It set off a national crisis and left prolonged unbearable influence on those who lived through the epic tragedy. Even for Japan, a nation that is always prepared for sudden disasters, the inherent precariousness of modern cities is inevitable, regardless of technological progress, or deep down, the completeness of a modern city and its resistibility is inversely related. The artificial environment is fragile than the natural environment. Thus it was preordained that destruction will manifest itself one day in some forms. How a nation faces a catastrophe and finds consolation in ruins, as well as how an individual assuages the emptiness after the loss and starts to rebuild memory again, will be closely related with the way we construct and contextualize our cities. In this design, I want to question the legitimacy of architecture to be tangible, unbreakable and carefully-designed by pointing out the efficacy of improvised virtual architecture as a ritual for memory.
</n>
<strong>Alleviating Rejection</strong><br>
For decades the simple act of walking was overlooked by city planners but, no matter how you choose to get around your city, the chances are that you are a pedestrian at some point during the day. Cities were made for walking, but cars have taken over. As a result, urban spaces are often designed for vehicles, making pedestrians helpless. Poorly designed sidewalks, unwelcome frontage, and fragmented public spaces all add to the depression of walkers. Recently, walkability Index of a city has raised attention worldwide because it has a huge impact on social life, health, economic and environmental sustainability. This design thesis project aims to study and categorize the related concepts of walkability, set up guidelines for future urban design. The aspects involved are based on the literature review of Ann Forsyth (2015). Nine themes are further developed into a hierarchy framework demonstrating safety, systematisms, and diversity. As part of the Urban Design Guideline research group project, this thesis mainly focuses on design guidelines for the campus of THU, where the central conflict is between bike riders and walkers, as the vast area of the university does not encourage walking. In addition to student walkers, university visitors are facing a more awkward condition, since most open spaces are not inviting the public to stay.
</n>
<strong>Breaching Norms</strong><br>
Hufangqiao is an area located to the southwest of Beijing’s historic city wall, part of the Dashilar Sub-district. Despite being the former entertainment and commercial center of Beijing, Dashilar serves as an outsider of the central city throughout the history, either regarding the location or its residents, who were mainly the lower class. In modern times, this area is getting sordid; even business has been on the decline. The contributing factor is 1976 Tangshan Earthquake which resulted in shelters added to the courtyards. The late 90’s rising population and high demand for low rent housing made these temporary structures became permanent. In last decade, the curiosity towards Hutong community culture made Dashilar a tourist attraction. However, the local residents do not benefit much from this trend; instead, due to the preservation code in this historical area, they have to endure the lack of facilities, space, privacy, and dignity. This area faces similar struggles in all historical regions in the world, high population density, inadequate public services, degradation of the public scene, and a lack of local business trade. The inherent contradiction lies between the individual and collective memory, with the latter being inevitably more focused. However, this design gives special importance to the wish of local residents, by reexamining and being prudent of our nostalgia towards historical buildings.",NA,NA
8,ToTheMoon,To The Moon,A Generative Cemetery,2018,Fall,Shiyi Peng,Panagiotis Michalatos,Computational,Rhinocereos,"Grasshopper,C#",NA,"Inspired by the interactive sad love story in game To The Moon, where Johnny was left with lingering guilt and an inexplicable desire to go to the moon after River died, we want to design a forest trail leading to a poetic cemetery in the moonlight, on the top of a hill, with different levels of vegetation automatically generated according its altitude, hill slope, distance to the center. ","We first selected a monochrome image, use the intensity of its pixels as height reference to generate the base terrain mesh using a grid of points. Then these points are evaluated one by one to decide whether to place any components on them. The global scope of the code uses custom defined design criteria to control the overall distribution of different landscape elements, including the trail, trees, bushes and crosses in the cemetery. The local scope provides specific functions for generating these components.","Under the moon here is  the visitor center, situated in a vast field (rangeXY), the edge of which grow the forest of trees. Some lower land and gentle basin (rangeZ , angleZ ) is planted with grass, while mountains are planted with  pine trees, cherry trees and bushes.  The plants have a transition from large scale to small scale and large scale (elevation s[k], distanceXY).  Along the path, you will meet a forest of cherry trees and then a field of bushes, seeing the pine tree forest in the moonlight at a distance. At last the path will lead you into the pine tree forest, where you find the view is open again. Several crosses scattered in the lawn, and there is a huge cross on the hilltop. The overall density of plants is controlled by scatterX and scatterY, while elevation s[k] also has an effect on the random deletion (randomZ) of the plants.",,Computational Cemetery Design,ToTheMoon_Cover.jpg,56.25%,ToTheMoon_Short.mp4,"ToTheMoon_Cover.jpg,ToTheMoon_Draft01.jpg,ToTheMoon_Draft02.jpg,ToTheMoon_Draft03.jpg,ToTheMoon_Draft04.jpg,ToTheMoon_Draft05.jpg,ToTheMoon_Draft06.jpg,ToTheMoon_Draft07.jpg,ToTheMoon_Draft08.jpg",,NA,,NA,Dugyu/ToTheMoon,NA
9,ARoseIsARose,A Rose Is A Rose,A Burial Mask,2018,Fall,Shiyi Peng,Panagiotis Michalatos,Computataional,Rhinocereos,"Grasshopper,C#",NA,"Aunt Min died in her 50s, like a rose wither and fall in the sudden winds. For her, a burial mask should not be made of cold nor rigid stone, but warm and soft yarn, through which she gets the first impression of the afterworld and with which she begins a new journey. ","The code can be broken into 4 parts, Acquisition, Deformation, Discretization and Post-Processing. Acquisition: get untrimmed NURBS surface from an input mesh in Rhino. Deformation: apply torque to points along principal curvature directions. Apply force to offset with regard to the focus point. Discretization: to generate a more organic form, instead of using existing surface split operations, which always produces rectangle subsurface, I designed a custom class SrfTriangle to get triangle subsurface. Each iteration, only subdivide those fragments with the largest curvatures. Then select subdivide patterns, check if nodes are within mask trim boundaries, select rose nodes. Post-Processing: find and connect nodes and their N-Nearest Neighbors to form a structure that looks like rose vines.","The result burial mask is soft, light-weighted and transparent as envisioned. By adjusting parameters, the mask could be re-generated with different densities, patterns, boundaries.",,"Computational Design, Burial Mask. A rose is a rose, then a death is not a death.",ARoseIsARose_Cover.jpg,56.25%,ARoseIsARose_Short.mp4,"ARoseIsARose_Cover.jpg,ARoseIsARose_Draft00.jpg,ARoseIsARose_Draft01.jpg,ARoseIsARose_Draft02.jpg,ARoseIsARose_Draft03.jpg,ARoseIsARose_Draft04.jpg,ARoseIsARose_Draft05.jpg,ARoseIsARose_Draft06.jpg,ARoseIsARose_Draft07.jpg,ARoseIsARose_Draft08.jpg,ARoseIsARose_Draft09.jpg",,NA,Inspiration,"<div>The rose is a rose,<br>And was always a rose.<br>But the theory now goes<br>That the apple's a rose,<br>And the pear is, and so's<br>The plum, I suppose.<br>The dear only knows<br>What will next prove a rose.<br>You, of course, are a rose -<br>But were always a rose.<br><br>Robert Lee Frost<br>(1875-1963)</div>",Dugyu/ARoseIsARose,NA
10,LePetitPrince,Le Petit Prince,Unexpected Shadows,2018,Fall,Shiyi Peng,Panagiotis Michalatos,Computataional,Rhinocereos,"Grasshopper,C#",NA,This project focuses on generating shadows of arbitrary forms through ray-tracing. The goal is to cast unexpected shadows of the rose and the little prince from a small stone on the planet.,"Shadow calculation starts from shadow boundary curves and a matrix of points. For each point in the matrix, construct a ray from each of the two point lights, test if the projected points are within the boundaries of target shadows, if both of the two shadow boundaries contain the point, then this point is kept, otherwise removed. In the end, place small mesh cubes at each of the remaining points, merge all cubes to produce a single mesh.","The audience will see the red and emerald shadows of the rose and the little prince, but wondering where are the original objects. Later they will realize that it is a small irregular stone that produces such unexpected shadows. ",,Computational Design with Raster Data. Shadow Generating Using Raytracing,LePetitPrince_Cover.jpg,56.25%,LePetitPrince_Short.mp4,"LePetitPrince_Cover.jpg,LePetitPrince_Draft01.jpg,LePetitPrince_Draft02.jpg,LePetitPrince_Draft03.jpg,LePetitPrince_Draft04.jpg",,NA,,NA,Dugyu/le-petit-prince,NA
